file_info,,,,,,,corrected_fluxes_and_quality_flags,,,,,,,,,,storage_fluxes,,,,vertical_advection_fluxes,,gas_densities_concentrations_and_timelags,,,,,,,,,,air_properties,,,,,,,,,,,,,,unrotated_wind,,,rotated_wind,,,,,,rotation_angles_for_tilt_correction,,,turbulence,,,,,,footprint,,,,,,,,uncorrected_fluxes,,,,,,,,,,statistical_flags,,,,,,,,,,,,spikes,,,,,,variances,,,,,,covariances,,
filename,date,time,DOY,daytime,file_records,used_records,Tau,qc_Tau,H,qc_H,LE,qc_LE,co2_flux,qc_co2_flux,h2o_flux,qc_h2o_flux,H_strg,LE_strg,co2_strg,h2o_strg,co2_v-adv,h2o_v-adv,co2_molar_density,co2_mole_fraction,co2_mixing_ratio,co2_time_lag,co2_def_timelag,h2o_molar_density,h2o_mole_fraction,h2o_mixing_ratio,h2o_time_lag,h2o_def_timelag,sonic_temperature,air_temperature,air_pressure,air_density,air_heat_capacity,air_molar_volume,ET,water_vapor_density,e,es,specific_humidity,RH,VPD,Tdew,u_unrot,v_unrot,w_unrot,u_rot,v_rot,w_rot,wind_speed,max_wind_speed,wind_dir,yaw,pitch,roll,u*,TKE,L,(z-d)/L,bowen_ratio,T*,model,x_peak,x_offset,x_10%,x_30%,x_50%,x_70%,x_90%,un_Tau,Tau_scf,un_H,H_scf,un_LE,LE_scf,un_co2_flux,co2_scf,un_h2o_flux,h2o_scf,spikes_hf,amplitude_resolution_hf,drop_out_hf,absolute_limits_hf,skewness_kurtosis_hf,skewness_kurtosis_sf,discontinuities_hf,discontinuities_sf,timelag_hf,timelag_sf,attack_angle_hf,non_steady_wind_hf,u_spikes,v_spikes,w_spikes,ts_spikes,co2_spikes,h2o_spikes,u_var,v_var,w_var,ts_var,co2_var,h2o_var,w/ts_cov,w/co2_cov,w/h2o_cov
,[yyyy-mm-dd],[HH:MM],[ddd.ddd],[1=daytime],[#],[#],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[µmol+1s-1m-2],[#],[mmol+1s-1m-2],[#],[W+1m-2],[W+1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[mmol+1mol_a-1],[mmol+1mol_d-1],[s],[1=default],[K],[K],[Pa],[kg+1m-3],[J+1kg-1K-1],[m+3mol-1],[mm+1hour-1],[kg+1m-3],[Pa],[Pa],[kg+1kg-1],[%],[Pa],[K],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[deg_from_north],[deg],[deg],[deg],[m+1s-1],[m+2s-2],[m],[#],[#],[K],[0=KJ/1=KM/2=HS],[m],[m],[m],[m],[m],[m],[m],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[µmol+1s-1m-2],[#],[mmol+1s-1m-2],[#],8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8co2/h2o/ch4/none,8co2/h2o/ch4/none,8aa,8U,[#],[#],[#],[#],[#],[#],[m+2s-2],[m+2s-2],[m+2s-2],[K+2],--,--,[m+1K+1s-1],--,--
2018-10-05_0000_p01_fase01.dat,2018-10-05,00:30,278.021,0,36000,36000,-0.199502,0,-18.8414,0,6.36687,0,3.74599,0,0.143827,0,-9999,-9999,-9999,-9999,1267.36,57.8502,15.5000,404.637,412.251,0.00000,1,707.517,18.4702,18.8177,0.00000,1,293.398,291.525,92843.7,1.10177,1015.67,0.261056E-01,0.931998E-02,0.127495E-01,1715.30,2106.78,0.115718E-01,81.4181,391.479,288.253,2.52927,1.17955,-0.107393,2.79282,-0.217767E-13,0.817651E-01,2.79402,8.08416,335.245,25.0579,-9999,-9999,0.425528,1.45886,338.814,0.333811E-01,-2.95928,-0.395678E-01,0,69.7960,-10.5918,23.9587,59.6606,90.9862,127.609,191.182,-0.197422,1.01054,-18.2602,1.01054,7.96015,1.01231,4.52725,1.01231,0.179819,1.01231,800000099,800000099,800000099,800000099,800001199,800001199,899999999,899999999,89999,89999,89,89,7,15,0,9,50,50,1.37903,1.11184,0.426866,0.203031E-01,0.701784E-03,1.69172,-0.163178E-01,0.452725E-02,0.179819
2018-10-05_0000_p01_fase01.dat,2018-10-05,01:00,278.042,0,36000,36000,-0.211228,0,-12.8285,1,9.01021,1,3.09369,0,0.203468,1,-3.64776,-1.88279,0.230844,-0.425168E-01,1364.22,61.7475,15.5406,405.314,412.889,0.00000,1,703.403,18.3454,18.6883,0.00000,1,293.055,291.159,92814.7,1.10286,1015.60,0.260810E-01,0.131847E-01,0.126753E-01,1703.18,2058.86,0.114931E-01,82.7244,355.682,288.143,2.60437,1.07540,-0.986542E-01,2.81938,0.216665E-13,0.877840E-01,2.82074,8.95470,337.668,22.4894,-9999,-9999,0.437639,1.28671,541.193,0.208983E-01,-1.42377,-0.261708E-01,0,74.4167,-11.2930,25.5448,63.6103,97.0097,136.057,203.839,-0.208880,1.01124,-12.1429,1.01124,9.94254,1.01284,3.57661,1.01284,0.224521,1.01284,800000099,800000099,800000099,800000099,800000099,800001099,899999999,899999999,89999,89999,89,89,0,25,0,18,23,42,1.25496,0.934084,0.384383,0.117157E-01,0.543053E-03,1.97726,-0.108414E-01,0.357661E-02,0.224521
2018-10-05_0000_p01_fase01.dat,2018-10-05,01:30,278.062,0,36000,36000,-0.371137,0,-29.5241,0,7.91092,0,5.46380,0,0.178614,0,-1.70709,-2.66199,0.126035E-02,-0.601028E-01,161.532,7.24096,15.5448,405.318,412.818,0.00000,1,696.822,18.1691,18.5053,0.00000,1,292.870,290.987,92783.9,1.10322,1015.48,0.260743E-01,0.115742E-01,0.125567E-01,1686.25,2036.77,0.113819E-01,82.7904,350.520,287.988,3.03229,0.416565,-0.158087,3.06364,-0.646721E-14,0.103914E-01,3.06366,7.78842,351.411,7.92577,-9999,-9999,0.580011,1.58032,547.255,0.206668E-01,-3.73207,-0.454367E-01,0,84.0307,-12.7520,28.8450,71.8282,109.542,153.635,230.173,-0.367294,1.01046,-28.7412,1.01046,10.4364,1.01206,6.71820,1.01206,0.235635,1.01206,800000099,800000099,800000099,800000099,800000099,800000099,899999999,899999999,89999,89999,89,89,6,19,1,11,16,10,1.51027,1.15169,0.498679,0.782887E-02,0.581509E-03,6.29322,-0.256548E-01,0.671820E-02,0.235635
2018-10-05_0000_p01_fase01.dat,2018-10-05,02:00,278.083,0,36000,36000,-0.235041,0,-23.9512,0,5.06751,0,3.95288,0,0.114391,0,-2.16617,-1.80697,0.466065E-01,-0.407894E-01,1082.44,48.1869,15.5578,405.455,412.907,0.00000,1,692.584,18.0495,18.3813,0.00000,1,292.665,290.770,92761.2,1.10382,1015.42,0.260611E-01,0.741255E-02,0.124804E-01,1674.75,2009.06,0.113065E-01,83.3598,334.311,287.881,2.43184,0.682961,-0.983145E-01,2.52769,-0.147112E-12,0.695756E-01,2.52865,7.38994,343.514,15.7541,-9999,-9999,0.461447,1.51187,339.635,0.333005E-01,-4.72642,-0.463086E-01,0,75.3312,-11.4318,25.8587,64.3919,98.2018,137.729,206.344,-0.232383,1.01144,-23.3752,1.01144,7.13651,1.01322,4.98397,1.01322,0.161095,1.01322,800000099,800000099,800000099,800000099,800000099,800001099,899999999,899999999,89999,89999,89,89,19,17,1,12,30,40,1.43037,1.17896,0.414413,0.114458E-01,0.490290E-03,0.850115,-0.208551E-01,0.498397E-02,0.161095
2018-10-05_0000_p01_fase01.dat,2018-10-05,02:30,278.104,0,36000,36000,-0.208218,0,-18.1528,0,5.47013,0,3.61488,0,0.123458,0,-1.82308,-0.423481,0.152883,-0.955773E-02,1340.15,59.5009,15.5854,405.902,413.352,0.00000,1,691.972,18.0215,18.3523,0.00000,1,292.497,290.587,92764.9,1.10457,1015.40,0.260437E-01,0.800005E-02,0.124693E-01,1672.21,1986.00,0.112888E-01,84.2000,313.789,287.858,2.35800,1.01663,-0.936354E-01,2.56951,0.108401E-13,0.859875E-01,2.57094,7.21469,336.571,23.3769,-9999,-9999,0.434171,1.20615,373.270,0.302998E-01,-3.31853,-0.372779E-01,0,75.0816,-11.3939,25.7731,64.1786,97.8764,137.273,205.660,-0.205856,1.01147,-17.6179,1.01147,6.98690,1.01321,4.37503,1.01321,0.157690,1.01321,800000099,800000099,800000099,800000099,800000099,800001099,899999999,899999999,89999,89999,89,89,9,7,0,12,12,32,1.10645,0.935956,0.369912,0.669188E-02,0.564704E-03,0.502063,-0.157081E-01,0.437503E-02,0.157690
2018-10-05_0000_p01_fase01.dat,2018-10-05,03:00,278.125,0,36000,36000,-0.221365,0,-20.9434,0,4.40002,0,4.19435,0,0.992898E-01,0,-1.68033,-0.251376,0.229633,-0.567248E-02,278.846,12.3485,15.6184,406.575,414.030,0.00000,1,691.649,18.0049,18.3350,0.00000,1,292.360,290.419,92753.3,1.10508,1015.38,0.260319E-01,0.643398E-02,0.124635E-01,1670.46,1964.97,0.112783E-01,85.0123,294.504,287.842,2.48341,0.984384,-0.162863,2.67520,0.546065E-13,0.178537E-01,2.67526,7.01991,338.166,21.7200,-9999,-9999,0.447566,1.14372,354.375,0.319153E-01,-4.75983,-0.417029E-01,0,77.7347,-11.7965,26.6838,66.4465,101.335,142.124,212.927,-0.218958,1.01099,-20.4509,1.01099,6.21143,1.01275,5.09280,1.01275,0.140166,1.01275,800000099,800000099,800000099,800000099,800000099,800001099,899999999,899999999,89999,89999,89,89,2,7,0,4,42,41,1.11930,0.807550,0.360573,0.573353E-02,0.464825E-03,0.450916,-0.182258E-01,0.509280E-02,0.140166
2018-10-05_0000_p01_fase01.dat,2018-10-05,03:30,278.146,0,36000,36000,-0.137976,0,-24.2835,0,2.67341,0,4.07655,0,0.603228E-01,0,-0.828296,0.256616,0.100771,0.579028E-02,675.904,29.9384,15.6333,406.870,414.337,0.00000,1,692.460,18.0219,18.3526,0.00000,1,292.291,290.336,92748.2,1.10533,1015.40,0.260259E-01,0.390892E-02,0.124781E-01,1671.94,1954.67,0.112890E-01,85.5357,282.729,287.855,2.05826,0.862168,-0.124877,2.23439,-0.632671E-13,0.432349E-01,2.23481,6.33250,335.805,22.8150,-9999,-9999,0.353310,0.988338,150.343,0.752278E-01,-9.08336,-0.612389E-01,0,69.9357,-10.6130,24.0067,59.7800,91.1682,127.865,191.565,-0.136524,1.01064,-23.8669,1.01064,4.84916,1.01300,5.15008,1.01300,0.109416,1.01300,800000099,800000099,800000099,800000099,800001099,800001199,899999999,899999999,89999,89999,89,89,3,22,0,10,59,54,0.907670,0.776231,0.292775,0.115857E-01,0.105794E-02,0.515128,-0.212652E-01,0.515008E-02,0.109416
2018-10-05_0000_p01_fase01.dat,2018-10-05,04:00,278.167,0,36000,36000,-0.195152,0,-27.6909,0,1.85169,1,3.01000,0,0.417788E-01,1,-0.646193,-0.220794,-0.604449E-01,-0.498168E-02,248.684,11.0111,15.6302,406.693,414.151,0.00000,1,692.063,18.0073,18.3375,0.00000,1,292.255,290.271,92749.3,1.10560,1015.39,0.260197E-01,0.270727E-02,0.124710E-01,1670.61,1946.68,0.112798E-01,85.8187,276.065,287.843,2.43132,0.613857,-0.149307,2.51077,-0.193984E-12,0.159105E-01,2.51082,7.50263,345.115,14.2784,-9999,-9999,0.420133,1.02899,221.694,0.510163E-01,-14.9544,-0.587112E-01,0,75.3630,-11.4366,25.8697,64.4192,98.2433,137.788,206.431,-0.193110,1.01057,-27.2893,1.01057,4.36980,1.01260,4.26744,1.01260,0.985939E-01,1.01260,800000099,800000099,800000099,800000099,800000099,800000099,899999999,899999999,89999,89999,89,89,10,20,1,2,4,15,0.929685,0.784829,0.343459,0.134368E-01,0.173151E-02,1.96953,-0.243089E-01,0.426744E-02,0.985939E-01
2018-10-05_0000_p01_fase01.dat,2018-10-05,04:30,278.187,0,36000,36000,-0.283400,0,-33.4632,0,7.34299,0,3.89287,0,0.165691,0,0.905656,-2.10436,-0.687144,-0.474838E-01,495.174,21.8639,15.5518,404.682,412.044,0.00000,1,686.673,17.8683,18.1934,0.00000,1,292.303,290.362,92771.9,1.10558,1015.30,0.260215E-01,0.107368E-01,0.123738E-01,1658.12,1957.89,0.111922E-01,84.6890,299.773,287.727,2.69973,0.534072,-0.135144,2.75460,-0.297171E-13,0.318403E-01,2.75479,7.80330,348.254,11.2832,-9999,-9999,0.506297,1.40677,321.099,0.352227E-01,-4.55716,-0.588811E-01,0,80.1355,-12.1609,27.5079,68.4987,104.465,146.513,219.504,-0.280442,1.01055,-32.6720,1.01055,10.2100,1.01235,5.35633,1.01235,0.230383,1.01235,800000099,800000099,800000099,800000099,800000099,800000099,899999999,899999999,89999,89999,89,89,1,11,0,12,14,17,1.36778,1.01794,0.427813,0.143080E-01,0.551475E-03,3.17898,-0.291064E-01,0.535633E-02,0.230383
